Value,Total_Sales,Quantity
12,3576.99,1.5
413,1595.82,1.7
416,4746.109,1.8
525,1271.43,1.9
617,5353.24,1.4
216,601.22,1.4
987,3258.104,1.4
808,1270.9,1.3
978,4438.1,1.6
805,918.48,1.8
68,5301.112,1.5
238,3283.97,1.5
617,3157.93,1.5
631,4599.68,1.6
362,5238.3,1.6
148,923.44,1.6
527,3929.79,1.6
223,5235.102,1.4
681,1841.83,1.3
178,1590.31,1.4
934,1280.115,1.3
488,4244.63,1.6
503,3541.85,1.8
467,2531.36,1.4
870,646.87,1.3
388,2778.34,1.6
862,2146.66,1.8
518,710.1,1.5
91,4168.64,1.4
898,3765.102,1.3
773,3238.85,1.6
169,331.34,1.8
464,2530.112,1.5
432,5388.57,1.8
548,2803.77,1.5
43,965.62,1.4
484,323.65,1.3
654,3045.63,1.6
259,3071.116,1.8
16,2673.94,1.4
450,1088.29,1.3
216,1408.65,1.4
560,3317.58,1.3
388,3307.83,1.6
488,4870.75,1.8
14,3456.106,1.4
6,2469.83,1.3
175,1293.28,1.6
671,2915.81,1.8
659,2081.99,1.5
993,1365.67,1.4
116,4684.73,1.3
798,2385.24,1.6
984,1070.31,1.8
619,1089.94,1.5
586,1500.85,1.8
556,1077.111,1.5
67,4820.119,1.4
161,227.52,1.3
731,1799.47,1.6
538,4251.104,1.8
122,2794.35,1.5
700,2577.53,1.4
771,2355.66,1.3
711,2402.56,1.6
885,1839.109,3.2
193,669.21,1.5
756,3911.72,1.4
19,2778.68,1.3
181,3166.111,1.4
715,5224.119,1.3
744,892.99,1.6
91,5118.78,1.8
535,3254.112,1.4
54,3619.117,1.3
454,317.22,1.6
221,3181.74,1.8
489,4526.26,1.5
296,4970.112,1.4
911,3059.81,1.3
755,1664.43,1.6
397,2502.63,1.8
452,2490.95,1.5
448,228.81,1.8
924,4820.33,1.5
200,5246.27,1.4
800,1043.73,1.3
520,5251.71,1.6
231,1016.99,1.8
707,1246.86,1.5
670,4270.22,1.4
874,5094.7,1.3
135,431.104,1.4
144,1730.6,1.3
596,1093.105,1.6
56,1251.23,1.8
455,3523.23,1.4
74,3050.118,1.3
687,2257.38,1.6
843,846.3,1.8
358,2673.73,1.5
12,4462.37,1.4
575,987.103,1.3
422,4283.64,1.6
254,2056.107,1.8
577,2815.64,1.5
395,5076.25,1.8
711,2375.49,1.5
872,1802.1,1.4
797,1858.61,1.3
332,1140.24,1.6
694,4279.67,1.8
346,5257.57,1.5
373,5369.74,1.4
667,286.66,1.3
92,2504.22,1.6
755,205.111,1.8
369,3574.21,1.5
44,3031.52,1.4
156,1632.99,1.3
458,3886.68,1.4
415,4053.108,1.3
667,4577.42,1.6
839,2799.67,1.8
706,1603.61,1.4
997,1937.31,1.3
448,4167.53,1.6
574,4008.97,1.8
322,2674.4,1.5
923,1129.69,1.4
969,3203.84,1.3
650,3115.56,1.6
363,1280.116,1.8
510,4551.57,1.5
774,3935.44,1.8
612,5186.65,1.5
283,1898.57,1.4
512,728.55,5.9
428,2444.116,1.6
899,3623.56,1.8
827,924.61,1.5
395,4407.4,1.4
828,4664.59,1.3
65,3674.53,1.6
993,3624.67,1.8
13,1745.108,1.5
869,1335.96,1.8
125,3547.38,1.5
692,5098.73,1.4
385,2861.83,1.3
601,1357.83,1.6
77,1153.46,1.8
554,3676.5,1.5
739,5330.7,1.4
788,373.2,1.3
328,4167.7,1.6
356,2606.34,1.8
517,3112.118,1.5
279,2331.105,1.8
517,3467.38,1.5
551,5348.45,1.7
599,458.78,1.8
735,868.117,1.9
875,4968.73,1.4
320,2343.29,1.4
532,4395.2,1.4
258,1548.72,1.3
214,5295.42,1.6
25,1974.28,1.8
536,2380.24,1.5
285,294.43,1.5
295,3334.43,1.5
40,4708.107,1.6
286,1732.85,1.6
763,636.104,1.6
857,2843.25,1.6
837,622.23,1.4
223,4282.63,1.3
648,3550.52,1.4
318,920.56,1.3
786,2397.77,1.6
359,4436.49,1.8
975,2270.1,1.4
902,4415.48,1.3
595,761.98,1.6
325,5045.112,1.8
77,2829.113,1.5
734,2824.71,1.4
344,3932.78,1.3
341,5094.97,1.6
395,585.102,1.8
969,456.103,1.5
691,1858.9,1.8
770,375.102,1.5
412,3914.4,1.4
367,4267.102,1.3
808,3463.45,1.6
762,1774.86,1.8
874,5041.99,1.4
400,3530.112,1.3
129,3627.91,1.4
344,490.48,1.3
180,611.78,1.6
620,5452.29,1.8
144,1190.48,1.4
643,949.115,1.3
495,2419.31,1.6
928,1829.94,1.8
721,5004.1,1.5
11,3026.113,1.4
166,1067.69,1.3
948,1689.64,1.6
649,2720.99,1.8
597,4185.84,1.5
29,887.64,1.8
484,2674.97,1.5
421,2832.88,1.4
210,2020.112,1.3
977,4641.49,1.6
321,3790.76,1.8
138,4860.1,1.5
67,1355.119,1.4
683,353.51,1.3
79,4975.26,1.6
485,3970.73,1.8
605,779.25,1.5
669,624.72,1.4
508,3752.54,1.3
977,3194.54,1.4
376,902.74,1.3
104,1009.29,1.6
489,291.41,1.8
437,2183.57,1.4
679,3263.7,1.3
305,1235.49,1.6
657,592.5,1.8
989,4566.54,1.5
528,4374.113,1.4
151,221.47,1.3
529,3793.28,1.6
582,5049.7,1.8
356,5154.36,1.5
569,3196.11,1.8
278,338.9,1.5
511,4285.85,1.4
94,4045.29,1.3
486,4533.94,1.6
556,5125.74,1.8
560,1467.45,1.5
81,4337.108,1.4
944,2400.39,1.3
953,718.39,1.4
117,2245.63,1.3
846,5442.24,1.6
849,4372.51,1.8
77,3099.74,1.4
248,679.32,1.3
625,1255.87,1.6
375,2819.77,1.8
497,107.8,1.5
388,3197.27,1.4
770,1063.45,1.3
135,3148.111,1.6
993,2545.57,1.8
146,146.105,1.5
348,3530.111,1.8
823,5084.57,1.5
257,1130.94,1.4
88,741.105,1.3
635,4120.45,1.6
41,2288.84,1.8
5,3967.27,1.5
326,5123.62,1.4
289,4430.75,1.3
526,426.105,1.6
25,4714.72,1.8
359,5078.115,1.5
971,1101.55,1.4
212,4880.106,1.3
966,2027.86,1.4
449,3081.27,1.3
773,4317.119,1.6
396,219.12,1.8
71,135.56,1.4
354,4658.26,1.3
867,5114.81,1.6
327,837.114,1.8
197,5000.31,1.5
487,3543.54,1.4
931,1980.38,1.3
264,3700.11,1.6
682,5036.55,1.8
947,2846.43,1.5
866,2165.118,1.8
488,3044.87,1.5
273,3423.57,1.4
786,3448.103,1.3
865,450.95,1.6
622,4518.78,1.8
115,2922.79,1.5
662,2238.118,1.4
410,497.52,1.3
300,4041.42,1.6
914,2422.92,1.8
418,3851.78,1.5
957,3396.22,1.8
573,3000.24,1.5
183,360.112,1.4
543,425.82,1.3
778,5250.48,1.6
924,4677.12,1.8
436,4437.103,1.5
863,4856.112,1.4
8,1233.29,1.3
156,975.75,1.6
953,2093.3,1.8
932,3980.75,1.5
56,2396.28,1.8
652,3340.31,1.5
234,1824.73,1.7
916,3363.97,1.8
323,5263.84,1.9
485,4159.48,1.4
172,4815.4,1.4
335,2389.54,1.4
685,2342.105,1.3
895,2066.73,1.6
515,540.59,1.8
644,1015.87,1.5
842,2269.7,1.5
597,1093.93,1.5
62,4061.114,1.6
704,2079.46,1.6
570,3493.101,1.6
784,4815.31,1.6
669,3073.96,1.4
962,1331.41,1.3
2,2329.64,1.4
690,4598.84,1.3
162,2517.46,1.6
589,4416.119,1.8
727,4855.86,1.4
749,1313.57,1.3
644,112.9,1.6
649,4719.83,1.8
344,512.88,1.5
1,3578.87,1.4
307,2170.109,1.3
530,4914.2,1.6
593,2324.52,1.8
314,5176.91,1.5
650,3080.63,1.8
502,3559.5,1.5
760,2861.31,1.4
753,1396.41,1.3
960,2456.81,1.6
32,1666.3,1.8
224,5334.105,1.4
997,2527.52,1.3
129,2308.86,1.4
800,590.2,1.3
380,842.52,1.6
554,2858.82,1.8
88,4222.1,1.4
417,3046.42,1.3
278,1443.54,1.6
776,1476.22,1.8
53,1464.102,1.5
438,1919.76,1.4
612,3637.88,1.3
556,1843.108,1.6
165,3221.118,1.8
519,4254.111,1.5
484,932.75,1.8
492,267.88,1.5
92,830.64,1.4
755,456.98,1.3
682,2900.113,1.6
807,5002.68,1.8
939,3674.115,1.5
79,2502.68,1.4
396,4245.103,1.3
61,936.86,1.6
677,1572.99,1.8
744,1748.64,1.5
432,2114.72,1.4
615,464.106,1.3
952,4673.6,1.4
885,5078.62,1.3
880,1784.47,1.6
81,2282.33,1.8
431,3591.94,1.4
594,4183.38,1.3
565,4702.56,1.6
754,160.104,1.8
206,3441.99,1.5
720,2020.67,1.4
194,2464.48,1.3
214,2081.98,1.6
983,4561.54,1.8
534,4944.57,1.5
125,1594.112,1.8
217,2088.48,1.5
617,4068.73,1.4
96,425.21,1.3
613,1352.73,1.6
719,2900.94,1.8
155,5286.85,1.5
597,2933.41,1.4
578,102.39,1.3
685,1676.42,1.4
177,3884.89,1.3
946,5108.27,1.6
387,1450.89,1.8
21,4450.111,1.4
752,4321.89,1.3
431,1035.38,1.6
78,3258.97,1.8
827,362.117,1.5
813,1890.9,1.4
868,650.108,1.3
477,2600.37,1.6
285,476.82,1.8
204,1714.74,1.5
111,2013.99,1.8
438,2340.46,1.5
19,2677.3,1.4
750,1068.114,1.3
847,5445.46,1.6
491,246.42,1.8
49,2715.11,1.5
450,1431.69,1.4
356,4232.51,1.3
56,4452.106,1.6
965,1863.41,1.8
92,2526.115,1.5
751,726.105,1.4
546,348.8,1.3
353,5085.71,1.4
744,2064.105,1.3
3,3912.47,1.6
886,3099.45,1.8
381,760.63,1.4
417,563.105,1.3
934,3175.5,1.6
118,2956.11,1.8
420,247.119,1.5
888,785.3,1.4
