id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built
7796600070,195000,3,2,1190,8726,1,0,3,7,1190,1956
4443800765,700000,3,2,2080,3880,1,0,5,7,1160,1954
3298720030,560000,4,2,2150,8555,1,2,4,7,1460,1982
1781500435,260000,3,2,1580,7344,1,0,5,7,1580,1911
1781500435,575000,3,2,1580,7344,1,0,5,7,1580,1911
6979970140,475000,3,3,2370,3239,2,0,3,8,1950,2006
1005000036,285000,3,2,1840,8601,1,0,3,7,920,1905
3629921160,753888,4,3,2660,5500,2,2,3,9,2660,2003
3629910370,650000,3,3,2190,3600,2,0,3,9,2190,2003
5200100105,620000,3,2,1660,3478,2,0,4,7,1100,1929
1024069159,526000,3,2,1780,37801,1,0,3,7,1300,1977
418000310,155000,2,1,700,5200,1,0,5,6,700,1952
765000060,342000,4,2,1570,11200,1,0,3,7,1120,1959
2126079046,390000,3,2,1220,216332,1,0,3,7,1220,1981
2024079035,685000,3,3,3150,219978,2,0,4,9,3000,1990
7202270830,608000,4,3,2690,4736,2,0,3,7,2690,2001
133000070,179900,2,1,680,6400,1,0,3,6,680,1943
2818600060,1245000,6,3,3750,14150,2,2,5,9,2750,1936
6082400083,166000,3,1,1010,11675,1,0,3,7,1010,1957
9412900045,462000,3,2,1710,4500,2,0,3,8,1410,1928
3905030140,545000,4,3,2090,6023,2,0,3,8,2090,1990
7228501580,415000,3,1,1560,4500,2,0,3,7,1560,1903
6679000390,269000,3,3,1560,4200,2,0,3,7,1560,2003
1822500160,356500,4,3,2570,11473,2,0,3,8,2570,2008
6889000060,225000,3,1,1010,7633,1,0,4,6,1010,1961
835000055,175000,2,1,1020,5130,1,0,4,6,1020,1948
7811210320,549000,5,3,1710,9720,2,0,4,8,1710,1974
3123049320,535000,3,3,2300,12197,2,0,3,8,2300,1989
4123400320,627000,4,2,1990,7712,1,0,3,8,1210,1973
4477000270,565000,3,2,2730,15677,3,3,3,9,2730,1976
3126049094,392450,4,2,2195,2681,1,0,3,7,1060,1912
8682282180,509000,2,2,1560,4675,1,0,3,8,1560,2006
1232000810,340000,3,3,1400,4800,1,0,3,7,1200,1921
1232000810,537000,3,3,1400,4800,1,0,3,7,1200,1921
8691330310,865000,4,3,3690,9892,2,0,3,10,3690,1998
3996900295,358000,2,1,1140,8340,1,0,3,7,1140,1948
117000003,595000,4,2,1920,3225,2,0,5,7,1300,1923
1471590060,661000,4,3,2496,8058,2,0,3,9,2496,1998
2558650200,419950,3,2,2280,8500,1,0,4,7,1680,1977
5104531580,490000,4,4,3200,6420,2,0,3,9,3200,2006
6021503570,525000,2,1,880,4000,1,0,3,7,880,1940
1862400517,350000,3,2,1320,1298,3,0,3,7,1320,1995
2738650030,552500,3,3,2450,3582,2,0,3,9,2450,2008
5560000710,210000,3,1,1040,8970,1,0,4,6,1040,1961
7215410320,390000,3,3,2480,53250,2,0,3,9,2480,1990
3971700510,336800,5,2,1830,16650,2,0,3,7,1610,1958
7202330270,465000,3,3,1440,4473,2,0,3,7,1440,2003
