index,employment,holiday,pandemy,q1,q2,q3,sales
1,61.5,0,0,1,0,0,620
2,61.3,0,0,1,0,0,585
3,61.5,0,0,1,0,0,643
4,61.6,0,0,0,1,0,706
5,61.5,0,0,0,1,0,660
6,61.5,0,0,0,1,0,721
7,61.6,0,0,0,0,1,678
8,61.6,0,0,0,0,1,653
9,61.4,0,0,0,0,1,638
10,61.3,0,0,0,0,0,789
11,61.4,1,0,0,0,0,1332
12,61.4,1,0,0,0,0,3226
13,61.4,0,0,1,0,0,598
14,61.4,0,0,1,0,0,576
15,61.5,0,0,1,0,0,683
16,61.5,0,0,0,1,0,735
17,61.7,0,0,0,1,0,685
18,61.8,0,0,0,1,0,722
19,61.8,0,0,0,0,1,745
20,62,0,0,0,0,1,682
21,61.7,0,0,0,0,1,671
22,61.8,0,0,0,0,0,799
23,61.9,1,0,0,0,0,1480
24,62,1,0,0,0,0,3275
25,62.2,0,0,1,0,0,618
26,62.3,0,0,1,0,0,637
27,62.1,0,0,1,0,0,819
28,62.3,0,0,0,1,0,782
29,62.5,0,0,0,1,0,742
30,62.3,0,0,0,1,0,758
31,62.3,0,0,0,0,1,778
32,62.6,0,0,0,0,1,801
33,62.7,0,0,0,0,1,806
34,62.9,0,0,0,0,0,987
35,63,1,0,0,0,0,1677
36,63.1,1,0,0,0,0,3445
37,63,0,0,1,0,0,683
38,63.1,0,0,1,0,0,665
39,63.1,0,0,1,0,0,823
40,63.1,0,0,0,1,0,867
41,62.7,0,0,0,1,0,821
42,62.7,0,0,0,1,0,873
43,62.8,0,0,0,0,1,851
44,62.8,0,0,0,0,1,846
45,62.9,0,0,0,0,1,846
46,62.9,0,0,0,0,0,993
47,62.8,1,0,0,0,0,1830
48,62.7,1,0,0,0,0,3616
49,62.7,0,0,1,0,0,705
50,62.9,0,0,1,0,0,737
51,63,0,0,1,0,0,890
52,63,0,0,0,1,0,862
53,63,0,0,0,1,0,669
54,63.2,0,0,0,1,0,849
55,63.3,0,0,0,0,1,877
