month,region,channel,segment,units_sold,avg_price,discount_rate,marketing_spend,holiday,campaign,customer_satisfaction,returns,inventory_on_hand,revenue,profit
1,North,Online,Budget,45,39,0.0,100.09,0,0,3.65,2,66,1755.0,374.15
1,North,Online,Standard,20,74,0.0,117.97,0,0,3.72,1,17,1480.0,398.55
1,North,Online,Premium,25,139,0.0,97.9,0,0,4.13,1,35,3475.0,1331.02
1,North,Store,Budget,40,39,0.0,152.85,0,0,3.31,2,32,1560.0,266.79
1,North,Store,Standard,18,74,0.0,93.99,0,0,4.09,1,30,1332.0,369.25
1,North,Store,Premium,18,139,0.0,156.27,0,0,3.82,0,24,2502.0,894.57
1,South,Online,Budget,33,39,0.0,167.58,0,0,3.9,2,38,1287.0,175.62
1,South,Online,Standard,24,74,0.0,157.55,0,0,,1,32,1776.0,465.53
1,South,Online,Premium,14,139,0.0,106.04,0,0,4.02,0,12,1946.0,711.28
1,South,Store,Budget,39,39,0.0,137.21,0,0,3.57,1,44,1521.0,280.09
1,South,Store,Standard,27,74,0.0,164.3,0,0,3.74,1,37,1998.0,538.7
1,South,Store,Premium,12,139,0.0,94.71,0,0,3.73,1,14,1668.0,575.27
1,East,Online,Budget,50,39,0.0,141.62,0,0,4.2,3,78,1950.0,378.64
1,East,Online,Standard,30,74,0.0,108.39,0,0,4.09,1,31,2220.0,674.53
1,East,Online,Premium,33,139,0.0,108.32,0,0,4.25,2,46,4587.0,1757.06
1,East,Store,Budget,53,39,0.0,103.84,0,0,2.93,3,54,2067.0,449.18
1,East,Store,Standard,28,74,0.0,160.8,0,0,3.65,2,32,2072.0,552.56
1,East,Store,Premium,37,139,0.0,88.18,0,0,4.13,2,31,5143.0,2010.72
1,West,Online,Budget,50,39,,117.99,0,0,4.08,3,43,1950.0,402.27
1,West,Online,Standard,43,74,0.0,167.4,0,0,3.19,2,68,3182.0,945.56
1,West,Online,Premium,18,139,0.0,128.33,0,0,4.61,1,19,2502.0,891.93
1,West,Store,Budget,37,39,0.0,120.84,0,0,3.44,2,61,1443.0,266.04
1,West,Store,Standard,23,74,0.0,96.08,0,0,4.09,1,37,1702.0,500.36
1,West,Store,Premium,11,139,0.0,134.81,0,0,4.1,1,10,1529.0,476.79
2,North,Online,Budget,41,39,0.0,127.73,0,0,3.73,3,33,1599.0,294.25
2,North,Online,Standard,33,74,0.0,159.08,0,0,4.02,2,51,2442.0,687.48
2,North,Online,Premium,20,139,0.0,165.23,0,0,4.01,1,18,2780.0,971.79
2,North,Store,Budget,43,39,0.0,148.93,0,0,3.42,3,39,1677.0,294.89
2,North,Store,Standard,29,74,0.0,158.52,0,0,3.46,1,34,2146.0,597.76
2,North,Store,Premium,23,139,0.0,98.1,0,0,4.0,1,25,3197.0,1214.06
2,South,Online,Budget,43,39,0.0,126.58,0,0,4.21,2,39,1677.0,325.82
2,South,Online,Standard,34,74,0.0,100.71,0,0,4.1,2,34,2516.0,772.49
2,South,Online,Premium,20,139,0.0,161.49,0,0,4.5,1,31,2780.0,975.53
2,South,Store,Budget,40,39,0.0,99.28,0,0,3.78,2,37,1560.0,320.36
2,South,Store,Standard,22,74,0.0,150.62,0,0,4.32,1,34,1628.0,419.18
2,South,Store,Premium,17,139,0.0,118.12,0,0,3.96,1,21,2363.0,843.76
2,East,Online,Budget,44,39,0.0,88.86,0,0,3.63,3,51,1716.0,365.88
2,East,Online,Standard,45,74,0.0,97.12,0,0,3.68,2,54,3330.0,1069.12
2,East,Online,Premium,22,139,0.0,163.09,0,0,3.8,1,26,3058.0,1090.69
2,East,Store,Budget,41,39,0.0,169.94,0,0,3.83,1,64,1599.0,269.2
2,East,Store,Standard,28,74,0.0,94.97,0,0,4.68,2,35,2072.0,618.39
2,East,Store,Premium,24,139,0.0,114.11,0,0,3.98,28,40,3336.0,1256.43
2,West,Online,Budget,57,39,0.0,118.07,0,0,3.64,3,95,2223.0,478.63
2,West,Online,Standard,31,74,0.0,93.93,0,0,4.5,2,33,2294.0,699.35
2,West,Online,Premium,16,139,0.0,147.32,0,0,4.5,1,14,2224.0,756.18
2,West,Store,Budget,37,39,0.0,94.17,0,0,3.19,3,62,1443.0,284.13
2,West,Store,Standard,29,74,0.0,140.77,0,0,4.1,2,29,2146.0,599.23
2,West,Store,Premium,24,139,0.0,133.51,0,0,4.44,1,33,3336.0,1237.03
3,North,Online,Budget,62,39,0.05,334.12,0,1,3.3,3,61,2297.1,283.33
3,North,Online,Standard,35,74,0.05,310.45,0,1,4.0,2,37,2460.5,542.77
3,North,Online,Premium,31,139,0.05,291.25,0,1,3.81,1,53,4093.55,1397.46
3,North,Store,Budget,43,39,0.0,103.87,0,0,3.69,1,71,1677.0,357.11
3,North,Store,Standard,21,74,0.0,94.2,0,0,4.43,1,33,1554.0,448.96
3,North,Store,Premium,9,139,0.0,138.86,0,0,3.76,1,7,1251.0,355.98
3,South,Online,Budget,48,39,0.05,334.5,0,1,3.82,3,44,1778.4,137.71
3,South,Online,Standard,37,74,0.05,274.51,0,1,4.17,2,50,2601.1,629.33
3,South,Online,Premium,16,139,0.05,273.76,0,1,4.0,1,20,2112.8,583.04
3,South,Store,Budget,33,39,0.0,118.12,0,0,4.11,1,35,1287.0,233.66
3,South,Store,Standard,26,74,0.0,103.58,0,0,4.5,2,38,1924.0,556.5
3,South,Store,Premium,13,139,0.0,86.77,0,0,3.55,0,21,1807.0,672.17
3,East,Online,Budget,60,39,0.05,302.43,0,1,4.06,4,56,2223.0,285.69
3,East,Online,Standard,46,74,0.05,321.65,0,1,4.26,3,72,3233.8,793.68
3,East,Online,Premium,22,139,0.05,259.25,0,1,4.24,1,33,2905.1,930.31
3,East,Store,Budget,44,39,0.0,93.91,0,0,3.82,3,72,1716.0,360.83
3,East,Store,Standard,20,74,0.0,159.33,0,0,4.53,1,16,1480.0,357.19
3,East,Store,Premium,13,139,0.0,152.2,0,0,3.87,1,21,1807.0,576.16
3,West,Online,Budget,52,39,0.05,259.73,0,1,3.8,3,82,1926.6,253.98
3,West,Online,Standard,34,74,0.05,291.43,0,1,4.21,2,37,2390.2,536.48
3,West,Online,Premium,17,139,0.05,267.38,0,1,4.12,0,19,2244.85,675.46
3,West,Store,Budget,30,39,0.0,137.73,0,0,4.15,1,35,1170.0,181.29
3,West,Store,Standard,27,74,0.0,90.38,0,0,4.33,2,45,1998.0,596.34
3,West,Store,Premium,30,139,0.0,89.76,0,0,4.29,1,36,4170.0,1631.06
4,North,Online,Budget,45,39,0.0,126.03,0,0,3.66,3,52,1755.0,339.63
4,North,Online,Standard,31,74,0.0,80.15,0,0,3.81,2,51,2294.0,713.13
4,North,Online,Premium,17,139,0.0,140.36,0,0,3.51,1,19,2363.0,821.52
4,North,Store,Budget,48,39,0.0,108.25,0,0,4.02,2,75,1872.0,398.75
4,North,Store,Standard,24,74,0.0,116.76,0,0,3.84,1,28,1776.0,506.32
4,North,Store,Premium,20,139,0.0,164.63,0,0,3.85,1,28,2780.0,972.39
4,South,Online,Budget,40,39,0.0,129.31,0,0,4.1,2,32,1560.0,290.33
4,South,Online,Standard,36,74,0.0,138.92,0,0,3.96,2,44,2664.0,787.56
4,South,Online,Premium,19,139,0.0,161.11,0,0,3.82,1,29,2641.0,917.53
4,South,Store,Budget,42,39,0.0,136.96,0,0,3.62,2,46,1638.0,304.52
4,South,Store,Standard,17,74,0.0,100.22,0,0,4.14,1,17,1258.0,336.38
4,South,Store,Premium,16,139,0.0,156.48,0,0,4.16,1,14,2224.0,747.02
4,East,Online,Budget,59,39,0.0,142.67,0,0,3.28,2,73,2301.0,484.45
4,East,Online,Standard,45,74,0.0,147.59,0,0,4.07,1,67,3330.0,1034.93
4,East,Online,Premium,25,139,0.0,166.22,0,0,4.34,1,32,3475.0,1262.7
4,East,Store,Budget,50,39,0.0,121.08,0,0,3.8,4,76,1950.0,390.6
4,East,Store,Standard,17,74,0.0,165.5,0,0,3.39,1,27,1258.0,271.1
4,East,Store,Premium,12,139,0.0,154.75,0,0,3.48,1,16,1668.0,515.23
4,West,Online,Budget,42,39,0.0,103.33,0,0,4.16,2,43,1638.0,338.15
4,West,Online,Standard,24,74,0.0,136.41,0,0,3.66,1,25,1776.0,486.67
4,West,Online,Premium,21,139,0.0,108.77,0,0,4.3,1,27,2919.0,1086.63
4,West,Store,Budget,46,39,0.0,143.58,0,0,3.71,3,39,1794.0,333.0
4,West,Store,Standard,32,74,0.0,98.62,0,0,3.53,1,38,2368.0,737.58
4,West,Store,Premium,12,139,0.0,157.11,0,0,4.28,1,18,1668.0,512.87
